index,benchmark,baseline_result,baseline_solved,baseline_timed_out,baseline_wall_seconds,baseline_par2,mab_result,mab_solved,mab_timed_out,mab_wall_seconds,mab_par2,mab_vs_baseline_par2_delta,mab_1000_result,mab_1000_solved,visible_packet_selections,visible_packet_updates
0,benchmarks/wordlevel/array/2019/mann/safe/arbitrated_fifos_n2d8w8.btor2,missing,False,True,3601.255930921063,7200.0,missing,False,True,3601.2591818878427,7200.0,0.0,missing,False,lean_core,lean_core
1,benchmarks/wordlevel/array/2019/mann/safe/linked_list_fifo_n2d4.btor2,missing,False,True,3601.1573128951713,7200.0,missing,False,True,3601.8528016740456,7200.0,0.0,missing,False,,
2,benchmarks/wordlevel/array/2019/mann/unknown/ridecore_array.btor2,missing,False,True,3600.2788058724254,7200.0,missing,False,True,3600.3228753358126,7200.0,0.0,missing,False,,
3,benchmarks/wordlevel/array/2019/mann/unsafe/ridecore_array.btor2,missing,False,True,3600.2624761667103,7200.0,missing,False,True,3600.3195538008586,7200.0,0.0,missing,False,,
4,benchmarks/wordlevel/array/2019/wolf/2018A/VexRiscv-regch0-15-p0.btor2,missing,False,True,3600.143657804467,7200.0,missing,False,True,3600.204359864816,7200.0,0.0,missing,False,lean_core,lean_core
5,benchmarks/wordlevel/array/2019/wolf/2018A/VexRiscv-regch0-15-p1.btor2,missing,False,True,3600.15305045899,7200.0,missing,False,True,3600.2669947165996,7200.0,0.0,missing,False,lean_core;cex_diverse,lean_core;cex_diverse
6,benchmarks/wordlevel/array/2019/wolf/2018A/picorv32-check-p12.btor2,unknown,False,False,156.18895024061203,7200.0,unsat,True,False,1236.092623651959,1236.092623651959,5963.907376348041,missing,False,lean_core;cex_diverse;recovery;cex_diverse;cex_diverse,lean_core;cex_diverse;recovery;cex_diverse;cex_diverse
7,benchmarks/wordlevel/array/2019/wolf/2018A/picorv32-check-p20.btor2,unknown,False,False,158.91360106505454,7200.0,unsat,True,False,666.8881908943877,666.8881908943877,6533.111809105612,unsat,True,lean_core;cex_diverse;recovery;cex_diverse;cex_diverse,lean_core;cex_diverse;recovery;cex_diverse;cex_diverse
8,benchmarks/wordlevel/array/2019/wolf/2018A/picorv32-check-p7.btor2,unknown,False,False,187.8234194861725,7200.0,missing,False,True,3600.1941073145717,7200.0,0.0,missing,False,lean_core;cex_diverse;recovery;lean_core;cex_diverse,lean_core;cex_diverse;recovery;lean_core;cex_diverse
9,benchmarks/wordlevel/array/2019/wolf/2018A/zipcpu-zipmmu-p34.btor2,unsat,True,False,0.22811044473201036,0.22811044473201036,unsat,True,False,0.5978278620168567,0.5978278620168567,-0.3697174172848463,unsat,True,,
10,benchmarks/wordlevel/array/2019/wolf/2018A/zipcpu-zipmmu-p40.btor2,unknown,False,False,1122.0020252903923,7200.0,missing,False,True,3600.6924806796014,7200.0,0.0,missing,False,lean_core;cex_diverse;recovery;cex_diverse;cex_diverse,lean_core;cex_diverse;recovery;cex_diverse;cex_diverse
11,benchmarks/wordlevel/array/2019/wolf/2019A/picorv32_mutAX_mem-p0.btor2,missing,False,True,3600.156149541959,7200.0,missing,False,True,3600.236854132265,7200.0,0.0,missing,False,,
12,benchmarks/wordlevel/array/2019/wolf/2019A/picorv32_mutAX_mem-p7.btor2,missing,False,True,3600.1666208840907,7200.0,missing,False,True,3600.2352112689987,7200.0,0.0,missing,False,,
13,benchmarks/wordlevel/array/2019/wolf/2019A/picorv32_mutBX_mem-p1.btor2,missing,False,True,3600.1550221694633,7200.0,missing,False,True,3600.2455622963607,7200.0,0.0,missing,False,,
14,benchmarks/wordlevel/array/2019/wolf/2019A/picorv32_mutBX_mem-p5.btor2,missing,False,True,3600.1496895039454,7200.0,missing,False,True,3600.239619465545,7200.0,0.0,missing,False,,
15,benchmarks/wordlevel/array/2019/wolf/2019A/picorv32_mutCX_mem-p5.btor2,missing,False,True,3600.1522749103606,7200.0,missing,False,True,3600.221694507636,7200.0,0.0,missing,False,,
16,benchmarks/wordlevel/array/2019/wolf/2019A/picorv32_mutCY_mem-p5.btor2,missing,False,True,3600.1608457211405,7200.0,missing,False,True,3601.0131572326645,7200.0,0.0,missing,False,,
17,benchmarks/wordlevel/array/2019/wolf/2019C/dblclockfft_butterfly_ck3_r1-p105.btor2,unknown,False,False,22.819946852512658,7200.0,unknown,False,False,624.6596536235884,7200.0,0.0,unknown,False,lean_core;cex_diverse;recovery;cex_diverse;lean_core;cex_diverse;recovery,lean_core;cex_diverse;recovery;cex_diverse;lean_core;cex_diverse;recovery
